position,title
Q28471382,Sultan of Qu'alti
Q60315580,Governor of 'Adan Governorate
Q60050319,Governor of Amran Governorate
Q60297523,Governor of Al Bayda' Governorate
Q60315610,Governor of Al Hudaydah Governorate
Q60315611,Governor of Al Jawf Governorate
Q60315487,Governor of Hadhramaut Governorate
Q60297522,Governor of Ma'rib Governorate
Q60297533,Governor of Shabwah Governorate
Q60315669,Governor of Socotra Governorate
Q60297521,Governor of Ta'izz Governorate
Q114774402,ambassador to Austria
Q38251887,ambassador to Belgium
Q40338023,ambassador to Canada
Q114774405,ambassador to Croatia
Q66691704,ambassador to Lebanon
Q38070253,ambassador to the People's Republic of China
Q38251984,ambassador to the Russian Federation
Q114774404,ambassador to Slovakia
Q114774403,ambassador to Slovenia
Q38251922,ambassador to the United Kingdom
Q38251796,ambassador to the United States of America
Q54101085,Permanent Representative to the United Nations
Q38281623,ambassador
