item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended
Q25040191,Deputy Prime Minister of Yemen,,,Q805,Q805,1990,
Q28492155,Minister of Agriculture and Irrigation,Q22932727,Ministry of Agriculture and Irrigation,Q805,Q805,,
Q59349539,Minister of Cabinet Affairs,,,Q805,Q805,,
Q28492175,Minister of Civil Service and Insurance,Q22932703,Ministry of Civil Service and Insurance,Q805,Q805,,
Q28492151,Minister of Communication of Yemen,Q22932683,Ministry of Communication,Q805,Q805,,
Q28492162,Minister of Culture,Q22932696,Ministry of Culture,Q805,Q805,,
Q24810166,Minister of Defence,Q12250963,Ministry of Defense,Q805,Q805,1990,
Q28492165,Minister of Education,Q12250945,Ministry of Education,Q805,Q805,,
Q28492184,Minister of Electricity and Energy,Q22932851,Ministry of Electricity and Energy,Q805,Q805,,
Q28492150,Minister of Endowments and Guidance,Q22932680,Ministry of Endowments and Guidance,Q805,Q805,,
Q28492176,Minister of Expatriate Affairs,Q22932873,Ministry of Expatriate Affairs,Q805,Q805,,
Q28492161,Minister of Finance,Q12250990,Ministry of Finance,Q805,Q805,,
Q28492157,Minister of Fisheries,Q22932691,Ministry of Fisheries,Q805,Q805,,
Q18345286,Minister of Foreign Affairs of Yemen,Q12250959,Ministry of Foreign Affairs,Q805,Q805,,
Q28492172,Minister of Higher Education and Scientific Research,Q16126996,Ministry of Higher Education and Scientific Research,Q805,Q805,,
Q28492163,Minister of Human Rights,Q22932866,Ministry of Human Rights,Q805,Q805,,
Q28492170,Minister of Industry and Trade,Q22932835,Ministry of Industry and Trade,Q805,Q805,,
Q28492156,Minister of Information,Q12250929,Ministry of Information,Q805,Q805,,
Q28481301,Minister of Interior of Yemen,Q12250961,Ministry of Interior,Q805,Q805,,
Q28492181,Minister of Justice,Q12250981,Ministry of Justice,Q805,Q805,,
Q28492178,Minister of Legal Affairs,Q22932815,Ministry of Legal Affairs,Q805,Q805,,
Q28492152,Minister of Local Administration,Q12250926,Ministry of Local Administration,Q805,Q805,,
Q28492179,Minister of Oil and Minerals,Q16127062,Ministry of Oil and Minerals,Q805,Q805,,
Q28492180,Minister of Parliament and Shura Affairs,Q22932880,Q22932880,Q805,Q805,,
Q28492160,Minister of Planning and International Cooperation,Q22932688,Ministry of Planning and International Cooperation,Q805,Q805,,
Q28492164,Minister of Public Health and Population,Q22932827,Ministry of Public Health and Population,Q805,Q805,,
Q28492149,Minister of Public Works and Highways,Q22932674,Ministry of Public Works and Highways,Q805,Q805,,
Q114869362,Minister of Sana’a Secretariat,,,Q805,Q805,,
Q28492173,Minister of Social Affairs and Labor,Q22932809,Ministry of Social Affairs and Labor,Q805,Q805,,
Q114869363,Minister of State,,,Q805,Q805,,
Q114869364,Minister of State for National Dialogue,,,Q805,Q805,,
Q28492154,Minister of Technical Education and Vocational Training,Q12250951,Ministry of Technical Education and Vocational Training,Q805,Q805,,
Q28492159,Minister of Tourism,Q22932730,Ministry of Tourism,Q805,Q805,,
Q28492183,Minister of Transport,Q12250994,Ministry of Transport,Q805,Q805,,
Q28492167,Minister of Water and Environment,Q12250991,Ministry of Water and Environment,Q805,Q805,,
Q28492158,Minister of Youth and Sports,Q22932821,Ministry of Youth and Sports,Q805,Q805,,
Q1192903,Prime Minister of Yemen,,,Q805,Q805,1990,
