position,officeholder,start,end
Q1192903,Q307338,2001-03-31,2007-04-07
Q1192903,Q362268,2007-04-07,2011-12-10
Q1192903,Q4119595,1998-04-29,2001-03-31
Q1192903,Q6399485,2014-10-13,2016-04-04
Q1192903,Q57373157,2018-10-15,
Q1192903,Q57905,2011-12-10,2014-09-21
Q1192903,Q20385886,2016-04-04,2018-10-15
Q1192903,Q2784436,2011-06-04,2011-08-23
Q18345286,Q12223818,2015-12-01,2016-04-04
Q18345286,Q307338,1998,2001
Q18345286,Q4666091,2014-11-07,2015-01-22
Q18345286,Q19689754,2015-03-21,2015-12-01
Q18345286,Q20385904,2014-06-11,2014-11-07
Q18345286,Q54094013,2018-05-23,
Q18345286,Q58297,2012-01-03,2014-06-11
Q24810166,Q1469704,2006-02-11,2007-04-01
Q24810166,Q16119290,2001-04-04,2003-05-16
Q24810166,Q19673630,2014-11-07,
Q24810166,Q20423157,2018-11-07,
Q25040191,Q20385886,2015-08-01,2016-04-04
Q28481301,Q6943646,2008-05-19,2011-12-07
Q28481301,Q12213376,2007-04-05,2008-05-19
Q28481301,Q12223209,2011-12-11,2014-03-07
Q28481301,Q16119870,2014-03-07,2014-11-07
Q28481301,Q16119911,2015-05-26,2015-12-01
Q28481301,Q16127778,2015-12-01,
Q28481301,Q20385496,2014-11-07,2015-01-22
Q28481301,Q55436193,2017-12-25,
Q28492149,Q57373157,2018-04-01,2018-10-01
Q28492149,Q16123960,2012-01-03,
Q28492150,Q1573947,2012-01-03,
Q28492151,Q20385886,2011-12-11,2014-11-09
Q28492151,Q28498169,2001-04-04,2003-05-17
Q28492151,Q28498173,2007-04-05,2011-06-11
Q28492152,Q16123345,,
Q28492152,Q20412009,2014-11-07,
Q28492152,Q28714829,2001-04-04,2003-05-16
Q28492154,Q16118053,2014-11-07,
Q28492154,Q16128299,2012-01-03,
Q28492155,Q20407940,2012-01-03,
Q28492155,Q55436193,2015-10,2017-12-25
Q28492156,Q16127851,2016-09-18,
Q28492156,Q5627924,2016-04-04,2016-09-18
Q28492156,Q6967263,2014-06-11,
Q28492156,Q12227830,,2014-06-11
Q28492156,Q20423647,2014-11-07,2015-05
Q28492157,Q12228803,2011-12-07,2014-11-01
Q28492158,Q50874956,2014-11-07,2015-01-22
Q28492158,Q16127851,2012-01-03,2014-09-21
Q28492158,Q21680111,2015-09-14,
Q28492158,Q23904861,,2011
Q28492159,Q16127851,2014-11-07,2016-09-18
Q28492159,Q5627924,,
Q28492159,Q13360057,2006,2011
Q28492159,Q16117765,2012-01-03,
Q28492160,Q12240556,2016-11-08,2018-11-27
Q28492160,Q20423114,2014-11-07,2016-11-08
Q28492160,Q59246326,2018-11-27,
Q28492161,Q12219876,2012-01-03,2014-06-11
Q28492161,Q20423290,2014-11-07,2015-06-09
Q28492161,Q59310961,2016-09-18,
Q28492161,Q59310987,2015-10-17,2016-09-18
Q28492161,Q68837007,2019-09-19,
Q28492162,Q16119309,2012-01-03,
Q28492162,Q22684197,2014-11-07,
Q28492163,Q20384844,2012-01-03,
Q28492164,Q19689754,,
Q28492164,Q16119774,2012-01-03,
Q28492165,Q16118053,2012-01-03,
Q28492165,Q20412800,2014-11-07,
Q28492167,Q16119880,2012-01-03,
Q28492170,Q12240556,,
Q28492170,Q16118426,2012-01-03,
Q28492170,Q16119932,2016-11-28,
Q28492170,Q20423114,,
Q28492172,Q16124997,2006-02-11,2011-12-07
Q28492172,Q16128140,2012-01-03,
Q28492172,Q59334763,2016-09-18,
Q28492173,Q12180515,2012-01-03,
Q28492173,Q59334743,2014-11-07,2014-11-25
Q28492173,Q59334740,2017-04-27,
Q28492173,Q59334741,2014-11-25,
Q28492175,Q13360057,2018-08-08,
Q28492175,Q16118166,2015-12-01,2018-03-20
Q28492175,Q16122340,2012-01-03,
Q28492175,Q20386152,2014-11-07,2014-11-25
Q28492175,Q59334759,2014-11-25,
Q28492176,Q16127990,2012-01-03,
Q28492176,Q20417375,2014-11-07,
Q28492178,Q12239520,2012-01-03,
Q28492178,Q26702680,2016-01-09,
Q28492179,Q6399485,2014-03-07,2014-06-11
Q28492179,Q20394232,2014-06-16,
Q28492179,Q20423122,2014-11-07,
Q28492179,Q16187308,2012-01-03,
Q28492180,Q16125465,2012-01-03,
Q28492180,Q20397480,,
Q28492181,Q12242130,2012-01-03,
Q28492181,Q20387779,2014-11-07,2017-04-27
Q28492181,Q59260881,2018-11-27,
Q28492181,Q59334762,2017-04-27,
Q28492183,Q22690657,2012-01-03,
Q28492184,Q20414203,2014-06-11,2018-11-27
Q28492184,Q12219627,2012-01-03,2014-06-11
Q28492184,Q59260916,2018-11-27,
Q3205776,Q57480,1994-10-03,2012-02-25
Q3205776,Q6399485,2015-04-12,2016-04-03
Q54101085,Q16119688,,
Q54101085,Q6399485,2014-06-11,2014-12-23
Q54101085,Q54094013,2014-12-23,2018-05-23
Q60297522,Q16119465,2012-04-06,
Q63143442,Q16119420,,
Q878256,Q57480,2012-02-27,
