@@,item,itemlabel,position,positionlabel,cabinet,startdate,enddate,psid
---,Q55436193,Ahmed bin ahmed AL-Maysari,Q28492155,Minister of Agriculture and Irrigation,,2015-10,2017-12-25,Q55436193-165a9b9f-43e6-62e2-a46c-61adad288913
---,Q16127778,Hussein Arab,Q28481301,Minister of Interior of Yemen,,2015-12-01,2017-12-25,Q16127778-BA1A0DD2-83CE-4F54-8FC1-A4F83866BA05
+++,Q52156087,Mahdi al-Mashat,,President,Q27943161,2018-04-25,,
---,Q5627924,Mohamed Qubaty,Q28492159,Minister of Tourism,,2016-09-18,2020-12-26,Q5627924-7820B73C-E881-4757-B64D-57A15CECDC7D
---,Q68107054,Mohammed Al-Hadhrami,Q18345286,Minister of Foreign Affairs of Yemen,,2019-09-19,2020-12-18,Q68107054-d8e093d7-47a7-29a1-2472-7b7575dae360
