item,itemLabel,position,positionLabel,cabinet,startDate,endDate,source,psid
Q114870620,Abdulaziz Al-Kumaim,Q28492160,Minister of Planning and International Cooperation,Q27943161,2017-07,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870620-166C7643-4435-4627-9AB6-22FC6291BCD7
Q114870621,Abdulhakim Ahmed al-Mawri,Q28481301,Minister of Interior,Q27943161,2017-12-13,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870621-52587B9E-E06A-40C5-A189-220DDC1FBBE0
Q114870622,Abdullah Ahmad al-Kibsy,Q28492162,Minister of Culture,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870622-A9D4958F-75AD-479C-85D4-418BBABBBEEF
Q114870623,Abdulrahman Ahmed al-Mukhtar,Q28492178,Minister of Legal Affairs,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870623-0032FC39-F5E6-4528-B396-5E10EB88CB48
Q114870624,Ahmed Abdullah Akabat,Q28492181,Minister of Justice,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870624-974FD735-8834-4033-8834-560D7B228078
Q114870625,Ahmed Abdullah Naji Dars,Q28492179,Minister of Petroleum and Minerals,Q27943161,2018-01-01,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870625-7574EA5B-80A6-45C6-A094-B686BDB87628
Q114870626,Ahmed Saleh al-Ganie,Q114869364,Minister of State for National Dialogue Outcomes' Affairs and National Reconciliation,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870626-AD9A1109-D2F4-4421-8FA3-DDE077CEEF5E
Q114870627,Ali Abdullah Abu Hulaykah,Q28492180,Minister of State for Parliamentary Affairs and the Shura Council,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870627-D0B028AA-D0E0-4691-BD28-EC1304967790
Q114870628,Ali Bin Ali Al-Kays,Q28492152,Minister of Local Administration,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870628-4946FA8C-7A85-4E1F-90B7-7A54A630AE00
Q114870629,Alia Faisal Abdullatif al-Shaba,Q28492163,Minister of Human Rights,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870629-BD27DCDC-878E-4AFD-89AD-708D71488A3A
Q114870630,Dhaifallah Qasim Saleh al-Shami,Q28492156,Minister of Information,Q27943161,2018-11-10,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870630-57296F88-D029-43BE-B4A6-9514D4197E60
Q114870631,Faiqah al-Sayed Ba'alawy,Q28492173,Minister of Social Affairs and Labour,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870631-893608D6-1BC1-4AA5-969E-0EF11505A2FA
