item,itemLabel,position,positionLabel,cabinet,startDate,endDate,source,psid
Q104601317,Mohamed Ahmed Shabiba,Q28492150,Minister of Endowments and Guidance,Q104601392,2020-12-26,,,Q104601317-5365165d-406c-b736-d630-81418fe663cd
Q113574719,Ibrahim Haidan,Q28481301,Minister of Interior of Yemen,Q104601392,2020-12-17,,,Q113574719-48DE5D7F-00B5-4445-9D29-A51B361C4983
Q114350102,Khaled al-Wesabi,Q28492154,Minister of Technical Education and Vocational Training,Q104601392,2020-12-17,,,Q114350102-01BF64A1-F9E2-4716-A6A5-4E842E0658EF
Q114350102,Khaled al-Wesabi,Q28492172,Minister of Higher Education and Scientific Research,Q104601392,2020-12-17,,,Q114350102-1CC9F355-244B-463B-8CC3-3DF4B945CB5A
Q16119688,Ahmad Awad Bin Mubarak,Q28492176,Minister of Expatriate Affairs,Q104601392,2020-12-26,,,Q16119688-97ABF99B-528D-44C2-8FE2-977F243486E8
Q16119688,Ahmad Awad Bin Mubarak,Q18345286,Minister of Foreign Affairs of Yemen,,2020-12-18,,,Q16119688-D796F264-0CD1-4740-88DE-36EA6234B5FF
Q20423157,Mohammed Ali Al-Maqdashi,Q24810166,Minister of Defence,Q58350266,2018-11-07,2022-07-22,,Q20423157-e0e641df-4718-d72f-1a56-ef198e24c5d1
Q21680111,Nayef al-Bakri,Q28492158,Minister of Youth and Sports,Q104601392,2015-09-15,,,Q21680111-A07252DF-9824-46E3-9024-039A198C5AE2
Q22690657,Waed Badhib,Q28492160,Minister of Planning and International Cooperation,Q104601392,2020-12-18,,,Q22690657-296746d0-4847-bdb4-8a92-da46d1b6f9c5
Q59246326,Najeeb Mansour Hameed Al Auj,Q28492151,Minister of Communication of Yemen,Q104601392,2020-12-18,,,Q59246326-2dd971d5-40a9-18e2-084c-806449890931
Q59246326,Najeeb Mansour Hameed Al Auj,Q114869364,Minister of State for National Dialogue,Q104601392,2018-11-27,,,Q59246326-3F3B3A11-30F3-4B87-93CF-C8419D79A227
Q68837007,Salem Saleh Salem bin brek,Q28492161,Minister of Finance,Q104601392,2019-09-19,,,Q68837007-9E32BD0D-9C5B-4F10-A9B4-447637D0C778
