@@,item,itemlabel,position,positionlabel,cabinet,startdate,enddate,psid
->,Q114869418,Abdel Nasser Al-Wali,Q28492175,Ministre de la Fonction publique et des Assurances->Ministre des Services civils et de l'Assurance Ministère des Services civils et de l'Assurance (Yémen),Q104601392,2020-12-18,,Q114869418-2FEECF0A-2D65-44A8-BC4B-278B53D49E86
->,Q114869769,Abdel Salam Hamid,Q28492183,Ministre des Transports->Ministre des Transports Ministère des Transports (Yémen),Q104601392,2020-12-17,,Q114869769-29438C86-0D9B-427F-B61F-13B8723FECBB
->,Q114869770,Abdelghani Jamil,Q114869362,Ministre chargé de Sanaa->Ministre du Secrétariat de Sana'a,Q104601392,2016-09-18,,Q114869770-C014A069-E499-47A3-A4CC-9AD310B4FFDE
---,Q16119688,Ahmed Awad Mubarak,Q28492176,ministre des Affaires expatriées,Q104601392,2020-12-26,,Q16119688-97ABF99B-528D-44C2-8FE2-977F243486E8
->,Q16119688,Ahmed Awad ben Moubarak,Q18345286,Ministre des Affaires étrangères->Ministre des Affaires étrangères Ministère des Affaires étrangères (Yémen),Q104601392,2020-12-18,,Q16119688-D796F264-0CD1-4740-88DE-36EA6234B5FF
---,Q114869638,Ahmed Mohamed Omar Orman,Q28492178,Ministre des Affaires juridiques,Q104601392,2020-12-17,,Q114869638-466681FA-A86F-44CE-B60E-74D13D87A9BC
+++,,Ahmed Mohamed Omar Orman,,Ministre des Affaires juridiques Ministère des Affaires juridiques (Yémen),Q104601392,,,
->,Q114869771,Badr al-Ardah,Q28492181,Ministre de la Justice->Ministre de la Justice Ministère de la Justice (Yémen),Q104601392,2020-12-17,,Q114869771-E5B5D1CC-3629-4E33-B2CA-EAF1B8698F3D
->,Q114869654,Hussein Abdul Rahman,Q28492152,Ministre de l'Administration locale->Ministre de l'Administration locale Ministère de l'Administration locale (Yémen),Q104601392,2020-12-17,,Q114869654-DD9E71AD-4FD1-4877-A8E5-45C30A5D42D7
->,Q113574719,Ibrahim Ali Ahmed Haidan,Q28481301,Ministre de l'Intérieur->Ministre de l'Intérieur (en),Q104601392,2020-12-17,,Q113574719-48DE5D7F-00B5-4445-9D29-A51B361C4983
---,Q114350102,Khaled Al-Wasabi,Q28492172,Ministre de l'Enseignement Supérieur et de la Recherche Scientifique,Q104601392,2020-12-17,,Q114350102-1CC9F355-244B-463B-8CC3-3DF4B945CB5A
---,Q114350102,Khaled Al-Wasabi,Q28492154,Ministre de l'Enseignement technique et Professionnel,Q104601392,2020-12-17,,Q114350102-01BF64A1-F9E2-4716-A6A5-4E842E0658EF
+++,,Khaled Al-Wasabi,,Ministre de l'Éducation technique et professionnelle,Q104601392,,,
+++,,Khaled Al-Wasabi,,Ministre de l'Éducation Supérieure et de la Recherche Scientifique (Yémen) Ministère de l'Éducation Supérieure et de la Recherche Scientifique (Yémen),Q104601392,,,
->,Q114869772,Manea Saleh,Q28492184,Ministre de l'Électricité->Ministre de l'Électricité et de l'Énergie Ministère de l'Électricité et de l'Énergie (Yémen),Q104601392,2022-07-28,,Q114869772-686132C9-AC0D-4D3B-B669-19458147F592
->,Q59334780,Marwan Damaj,Q28492162,Ministre de la Culture->Ministre de la Culture Ministère de la Culture (Yémen),Q104601392,2020-12-26,,Q59334780-85E48583-AE40-4332-8A8D-CE95A67204B7
---,Q16127851,Moammar Al-Eryani,Q28492162,ministre de la Culture,Q104601392,2020-12-17,,Q16127851-05B82007-7808-437C-941A-039B4C3A14C2
