@@,item,itemlabel,position,positionlabel,cabinet,startdate,enddate,psid
->,Q104601317,Mohamed Ahmed Shabiba,Q28492150,Ministre des Dotations religieuses et de l'Orientation->Ministre des Dotations et de l'Orientation Ministère des Dotations et de l'Orientation (Yémen),Q104601392,2020-12-26,,Q104601317-5365165d-406c-b736-d630-81418fe663cd
---,Q114869664,Mohamed Al-Ashwal,Q28492170,ministre de l'Industrie et du Commerce,Q104601392,2020-12-17,,Q114869664-61A6D013-A179-4C11-BE46-5C2CB0DEA108
+++,,Mohamed al-Ashwal,,Ministre de l'Industrie et du Commerce Ministère de l'Industrie et du Commerce (Yémen),Q104601392,,,
->,Q113407477,Mohsen Mohammed Hussein al-Daeri,Q24810166,Ministre de la Défense->Ministre de la Défense (en),Q104601392,2022-07-28,,Q113407477-E855DB00-046B-49C2-8439-169B4B7ECB08
---,Q16127851,Muammar al-Iryani,Q28492159,Ministre du Tourisme,Q104601392,2020-12-17,,Q16127851-CEEB9612-2395-4C9B-B406-949BF25EB563
---,Q16127851,Muammar al-Iryani,Q28492156,Ministre de l'Information,Q104601392,2016-09-18,,Q16127851-79E2F33C-E71F-4BA5-8827-1872CB6CDBE1
+++,,Muammar al-Iryani,,Ministre du Tourisme Ministère du Tourisme (Yémen),Q104601392,,,
+++,,Muammar al-Iryani,,Ministre de l'Information Ministère de l'Information (Yémen),Q104601392,,,
->,Q114869699,Muhammad Al-Zaouri,Q28492173,Ministre des Affaires sociales et du Travail->Ministre des Affaires sociales et de Travail Ministère des Affaires sociales et de Travail (Yémen),Q104601392,2020-12-17,,Q114869699-90E361A0-8E1C-4C8F-AB09-72887BE6431C
---,Q59246326,Najeeb Mansour Hameed Al Auj,Q28492151,ministre de la Communication,Q104601392,2020-12-18,,Q59246326-2dd971d5-40a9-18e2-084c-806449890931
+++,,Najib al-Awj,,Ministre des Télécommunications et de la Technologie de l'information Ministère des Télécommunications et de la Technologie de l'information (Yémen),Q104601392,,,
->,Q21680111,Nayef al-Bakri,Q28492158,Ministre de la Jeunesse et des Sports->Ministre de la Jeunesse et des Sports Ministère de la Jeunesse et des Sports (Yémen),Q104601392,2015-09-15,,Q21680111-A07252DF-9824-46E3-9024-039A198C5AE2
->,Q114869710,Qassem Mohammad Qassem Baheeh,Q28492164,Ministre de la Santé->Ministre de la Santé Publique et de la Population Ministère de la Santé Publique et de la Population,Q104601392,2020-12-17,,Q114869710-B3DE8E04-C753-42C4-9D92-1D6E05668017
->,Q114869724,Said Suliman Barakat al-Shamasi,Q28492179,Ministre du Pétrole et des Minéraux->Ministre du Pétrole et des Minéraux Ministère du Pétrole et des Minéraux (Yémen),Q104601392,2022-07-28,,Q114869724-3E7302A9-688F-4A36-A6AB-6716D3D81718
---,Q114869735,Salem Abdullah Issa Al-Soqotri,Q28492155,Ministre de l'Agriculture et de l'Irrigation,Q104601392,2020-12-17,,Q114869735-A79FBDF5-B971-4FEB-AE6E-4B7AE51E27DD
---,Q114869735,Salem Abdullah Issa Al-Soqotri,Q28492157,ministre de la Pêche,Q104601392,2020-12-17,,Q114869735-8E71D130-94B1-43C3-87A3-DA251FD9E972
+++,,Salem Abdullah Issa Al-Soqotri,,Ministre des Richesses de la pêche,Q104601392,,,
+++,,Salem Abdullah Issa Al-Soqotri,,Ministre de l'Agriculture et de l'Irrigation Ministère de l'Agriculture et de l'Irrigation (Yémen),Q104601392,,,
->,Q68837007,Salem Saleh Bin Braik,Q28492161,Ministère des Finances->Ministre des Finances Ministère des Finances (Yémen),Q104601392,2019-09-19,,Q68837007-9E32BD0D-9C5B-4F10-A9B4-447637D0C778
->,Q114869775,Salim Mohammed,Q28492149,Ministre des Travaux publics et des Infrastructures->Ministre des Travaux publics et des Transports Ministère des Travaux publics et des Transports (Yémen),Q104601392,2022-07-28,,Q114869775-E2D4B300-2297-49D3-8F20-A034ED5B54B5
---,Q114869756,Tareq Salem Al-Abkari,Q28492165,ministre de l'Éducation,Q104601392,2020-12-17,,Q114869756-A18C28AC-0BA6-4979-A061-922E04F3CAD3
+++,,Tareq Salem al-Abkari,,Ministre de l'Éducation Ministère de l'Éducation (Yémen),Q104601392,,,
---,Q114869762,Tawfiq Al-Sharjabi,Q28492167,ministre de l'Eau et de l'Environnement,Q104601392,2020-12-17,,Q114869762-EDDA047D-4C83-4FDC-892E-D49D2CC3EC23
+++,,Tawfiq al-Sharjabi,,Ministre de l'Eau et de l'Environnement Ministère de l'Eau et de l'Environnement (Yémen),Q104601392,,,
+++,,Waed Abdullah Badhib,,Ministre de la Planification et de la Coopération internationale Ministère de la Planification et de la Coopération internationale (Yémen),Q104601392,,,
---,Q22690657,Waed Badhib,Q28492160,ministre de la Planification et de la Coopération internationale,Q104601392,2020-12-18,,Q22690657-296746d0-4847-bdb4-8a92-da46d1b6f9c5
