item,itemLabel,position,positionLabel,cabinet,startDate,endDate,source,psid
Q104601317,Mohamed Ahmed Shabiba,Q28492150,Ministre des Dotations religieuses et de l'Orientation,Q104601392,2020-12-26,,https://fr.wikipedia.org/wiki/Gouvernement_Ma%C3%AFn_Abdelmalek_Sa%C3%AFd_(2),Q104601317-5365165d-406c-b736-d630-81418fe663cd
Q113407477,Mohsen Mohammed Hussein al-Daeri,Q24810166,Ministre de la Défense,Q104601392,2022-07-28,,https://fr.wikipedia.org/wiki/Gouvernement_Ma%C3%AFn_Abdelmalek_Sa%C3%AFd_(2),Q113407477-E855DB00-046B-49C2-8439-169B4B7ECB08
Q113574719,Ibrahim Ali Ahmed Haidan,Q28481301,Ministre de l'Intérieur,Q104601392,2020-12-17,,https://fr.wikipedia.org/wiki/Gouvernement_Ma%C3%AFn_Abdelmalek_Sa%C3%AFd_(2),Q113574719-48DE5D7F-00B5-4445-9D29-A51B361C4983
Q114350102,Khaled Al-Wasabi,Q28492154,Ministre de l'Enseignement technique et Professionnel,Q104601392,2020-12-17,,https://fr.wikipedia.org/wiki/Gouvernement_Ma%C3%AFn_Abdelmalek_Sa%C3%AFd_(2),Q114350102-01BF64A1-F9E2-4716-A6A5-4E842E0658EF
Q114350102,Khaled Al-Wasabi,Q28492172,Ministre de l'Enseignement Supérieur et de la Recherche Scientifique,Q104601392,2020-12-17,,https://fr.wikipedia.org/wiki/Gouvernement_Ma%C3%AFn_Abdelmalek_Sa%C3%AFd_(2),Q114350102-1CC9F355-244B-463B-8CC3-3DF4B945CB5A
Q114869418,Abdel Nasser Al-Wali,Q28492175,Ministre de la Fonction publique et des Assurances,Q104601392,2020-12-18,,https://fr.wikipedia.org/wiki/Gouvernement_Ma%C3%AFn_Abdelmalek_Sa%C3%AFd_(2),Q114869418-2FEECF0A-2D65-44A8-BC4B-278B53D49E86
Q114869638,Ahmed Mohamed Omar Orman,Q28492163,Ministre des Droits de l'homme,Q104601392,2017-04-27,,https://fr.wikipedia.org/wiki/Gouvernement_Ma%C3%AFn_Abdelmalek_Sa%C3%AFd_(2),Q114869638-2600075D-BF15-4E59-85D7-D26150179667
Q114869638,Ahmed Mohamed Omar Orman,Q28492178,Ministre des Affaires juridiques,Q104601392,2020-12-17,,https://fr.wikipedia.org/wiki/Gouvernement_Ma%C3%AFn_Abdelmalek_Sa%C3%AFd_(2),Q114869638-466681FA-A86F-44CE-B60E-74D13D87A9BC
Q114869654,Hussein Abdul Rahman,Q28492152,Ministre de l'Administration locale,Q104601392,2020-12-17,,https://fr.wikipedia.org/wiki/Gouvernement_Ma%C3%AFn_Abdelmalek_Sa%C3%AFd_(2),Q114869654-DD9E71AD-4FD1-4877-A8E5-45C30A5D42D7
Q114869664,Mohamed Al-Ashwal,Q28492170,ministre de l'Industrie et du Commerce,Q104601392,2020-12-17,,,Q114869664-61A6D013-A179-4C11-BE46-5C2CB0DEA108
